Date,Open,High,Low,Close,Adj Close,Volume
24-07-2021,158126.8906,163600.7188,156888.2344,162973.1094,162973.1094,1.19537E+12
25-07-2021,162818.7656,163361.6563,156988.6719,163145.9219,163145.9219,1.08446E+12
26-07-2021,163141.1719,180754.6406,162100.5625,165916.2656,165916.2656,2.20004E+12
27-07-2021,165680.7969,172469.5938,160180.5625,171231.7344,171231.7344,1.71859E+12
28-07-2021,171510.9531,174194.8906,167487.25,170840.5781,170840.5781,1.41277E+12
29-07-2021,171024.0469,177929,169082.5313,176791.4063,176791.4063,1.2113E+12
30-07-2021,176909.3438,183694.9063,172829.7188,183490.875,183490.875,1.50342E+12
31-07-2021,183090.2813,189753.5781,180281.7344,188641.5313,188641.5313,1.33895E+12
01-08-2021,188214.0469,200484.1563,187505.1563,190548.875,190548.875,1.68826E+12
02-08-2021,190245.5938,198232.8125,186794.9531,194018.3438,194018.3438,1.64741E+12
03-08-2021,193963.3125,195557.6719,181903.1875,185710.7656,185710.7656,1.68443E+12
04-08-2021,186170.5313,205128.4844,182850.5,202139.4063,202139.4063,1.85762E+12
05-08-2021,202217.2969,210328.5,188360.0625,209428.2969,209428.2969,2.30055E+12
06-08-2021,209441.2344,218572.6406,202132.4063,214629.4531,214629.4531,1.96954E+12
07-08-2021,214686.2969,235264.3594,212965.9688,234300.2969,234300.2969,2.45499E+12
08-08-2021,234596.6875,237194.2344,219850.7031,224497.9063,224497.9063,2.11807E+12
09-08-2021,224434.8125,237249.4688,215308.1406,235899.0156,235899.0156,2.38168E+12
10-08-2021,235541.125,240263.6719,227723.6406,233854.1406,233854.1406,2.05482E+12
11-08-2021,233938.9375,242746.9844,232394.0156,234471.9844,234471.9844,1.98063E+12
12-08-2021,234466.8438,240064.4688,221718.7188,226005.0313,226005.0313,1.88649E+12
13-08-2021,226419.9063,246747.1563,225579.4844,246564.5938,246564.5938,1.77148E+12
14-08-2021,246605.4844,247089.2344,238572.0156,242351.4063,242351.4063,1.47401E+12
15-08-2021,242413.2031,246406.6875,231393.1406,245695.8281,245695.8281,1.64511E+12
16-08-2021,245615.5313,247439.25,232864.8438,234029.0781,234029.0781,1.71119E+12
17-08-2021,233500.5156,244376.3906,222833.3906,224198.2344,224198.2344,1.89697E+12
18-08-2021,223983.9063,232077.1563,220048,224302.25,224302.25,1.59972E+12
19-08-2021,224230.7344,237008.1563,220355.5625,236887.0781,236887.0781,1.45482E+12
20-08-2021,236846.9219,245258.2656,236544.8125,244224.875,244224.875,1.55184E+12
21-08-2021,244224.6094,245741.8438,238501.7188,239706.75,239706.75,1.34592E+12
22-08-2021,239717.4063,243172.9063,233459.6094,240894.8438,240894.8438,1.18759E+12
23-08-2021,240838.5156,250077.8906,240590.4063,245977.3906,245977.3906,1.52E+12
24-08-2021,246392.25,249008.0938,233883.4844,235221.9531,235221.9531,1.49262E+12
25-08-2021,235356.4063,240764.9844,229068.5781,238974.4063,238974.4063,1.40074E+12
26-08-2021,239258.3906,240946.4688,226896.8125,229908.7969,229908.7969,1.29074E+12
27-08-2021,229618.1406,241204.7813,227251.6406,240378.6875,240378.6875,1.35893E+12
28-08-2021,240709.7031,241425.6719,236468.8594,238453.25,238453.25,1.00761E+12
29-08-2021,238627.2813,241307.3125,232164.6563,237174.5469,237174.5469,9.77257E+11
30-08-2021,237188.5,245339.5469,231651.6563,236705.9688,236705.9688,1.41735E+12
31-08-2021,236954.375,252852.7813,234596.125,250652,250652,1.99139E+12
01-09-2021,250435.1563,280035.0938,247299.4375,279886.25,279886.25,2.19473E+12
